"Date","SQQQ.Open","SQQQ.High","SQQQ.Low","SQQQ.Close","SQQQ.Volume","SQQQ.Adjusted"
2020-01-02,2730,2746.25,2662.5,2662.5,128994,2371.5869140625
2020-01-03,2766.25,2767.5,2686.25,2733.75,145693,2435.0517578125
2020-01-06,2798.75,2808.75,2681.25,2681.25,125504,2388.2880859375
2020-01-07,2678.75,2708.75,2660,2682.5,88454,2389.40161132812
2020-01-08,2685,2697.5,2586.25,2622.5,146120,2335.95776367188
2020-01-09,2561.25,2603.75,2542.5,2556.25,138582,2276.9462890625
2020-01-10,2528.75,2590,2526.25,2577.5,154662,2295.87475585938
2020-01-13,2547.5,2558.75,2487.5,2487.5,125534,2215.70776367188
2020-01-14,2495,2530,2480,2517.5,185906,2242.43041992188
2020-01-15,2515,2540,2480,2516.25,154327,2241.31640625
2020-01-16,2480,2495,2443.75,2445,126951,2177.85180664062
2020-01-17,2413.75,2450,2402.5,2407.5,111827,2144.44921875
2020-01-21,2430,2431.25,2393.75,2412.5,98471,2148.90283203125
2020-01-22,2376.25,2402.5,2351.25,2393.75,108982,2132.20141601562
2020-01-23,2398.75,2431.25,2368.75,2371.25,142158,2112.15991210938
2020-01-24,2340,2465,2330,2432.5,196854,2166.71752929688
2020-01-27,2593.75,2615,2543.75,2582.5,234611,2300.32836914062
2020-01-28,2530,2548.75,2446.25,2463.75,168404,2194.55297851562
2020-01-29,2422.5,2485,2415,2453.75,152411,2185.64575195312
2020-01-30,2500,2523.75,2423.75,2426.25,241298,2161.15014648438
2020-01-31,2396.25,2568.75,2396.25,2545,292712,2266.92578125
2020-02-03,2507.5,2512.5,2410,2430,246354,2164.49047851562
2020-02-04,2330,2353.75,2248.75,2263.75,280813,2016.40588378906
2020-02-05,2180,2280,2180,2237.5,222109,1993.02368164062
2020-02-06,2223.75,2247.5,2180,2182.5,139245,1944.03344726562
2020-02-07,2211.25,2230,2175,2210,176790,1968.52868652344
2020-02-10,2233.75,2235,2130,2130,152854,1897.26965332031
2020-02-11,2096.25,2147.5,2075,2130,197918,1897.26965332031
2020-02-12,2093.75,2108.75,2065,2068.75,127975,1842.71203613281
2020-02-13,2113.75,2120,2051.25,2077.5,167891,1850.50598144531
2020-02-14,2068.75,2088.75,2053.75,2061.25,129114,1836.03161621094
2020-02-18,2091.25,2097.5,2045,2056.25,154623,1831.57775878906
2020-02-19,2021.25,2028.75,1986.25,1998.75,128348,1780.3603515625
2020-02-20,2011.25,2127.5,2000,2056.25,247646,1831.57775878906
2020-02-21,2083.75,2198.75,2076.25,2173.75,306458,1936.23937988281
2020-02-24,2412.5,2457.5,2345,2426.25,560801,2161.15014648438
2020-02-25,2366.25,2645,2341.25,2621.25,709334,2334.84399414062
2020-02-26,2580,2642.5,2445,2583.75,602030,2301.44165039062
2020-02-27,2781.25,2978.75,2661.25,2970,848318,2645.48852539062
2020-02-28,3266.25,3300,2908.75,2925,1008350,2605.40551757812
2020-03-02,2838.75,2962.5,2505,2508.75,607336,2234.63623046875
2020-03-03,2491.25,2821.25,2402.5,2760,692898,2458.43383789062
2020-03-04,2605,2681.25,2413.75,2416.25,511947,2152.24267578125
2020-03-05,2602.5,2683.75,2475,2630,452644,2342.63842773438
2020-03-06,2896.25,2958.75,2726.25,2761.25,643364,2459.54736328125
2020-03-09,3343.75,3378.75,3041.25,3332.5,523162,2968.380859375
2020-03-10,2961.25,3342.5,2812.5,2812.5,583154,2505.19750976562
2020-03-11,3006.25,3270,2941.25,3160,479076,2814.728515625
2020-03-12,3787.5,4053.75,3387.5,4033.75,686512,3593.01000976562
2020-03-13,3378.75,3975,2875,2890,770024,2574.22973632812
2020-03-16,3750,3932.5,3270,3836.25,676059,3417.08935546875
2020-03-17,3573.75,3948.75,2966.25,3135,835450,2792.46020507812
2020-03-18,3657.5,3875,3263.75,3367.5,680941,2999.556640625
2020-03-19,3416.25,3665,2977.5,3325,831044,2961.70068359375
2020-03-20,3090,3720,3031.25,3665,832746,3264.55102539062
2020-03-23,3651.25,4031.25,3450,3685,807878,3282.36572265625
2020-03-24,3120,3211.25,2851.25,2855,872581,2543.05395507812
2020-03-25,2803.75,3003.75,2570,2895,843063,2578.68334960938
2020-03-26,2817.5,2830,2401.25,2433.75,895672,2167.83081054688
2020-03-27,2611.25,2695,2480,2668.75,663152,2377.154296875
2020-03-30,2595,2627.5,2363.75,2380,697194,2119.95361328125
2020-03-31,2395,2482.5,2260,2432.5,738634,2166.71752929688
2020-04-01,2650,2803.75,2542.5,2743.75,714681,2443.95947265625
2020-04-02,2782.5,2810,2576.25,2581.25,815182,2299.21459960938
2020-04-03,2605,2777.5,2538.75,2682.5,633699,2389.40161132812
2020-04-06,2386.25,2435,2068.75,2118.75,722793,1887.24853515625
2020-04-07,1927.5,2122.5,1915,2112.5,830672,1881.68188476562
2020-04-08,2051.25,2112.5,1956.25,1978.75,670070,1762.54565429688
2020-04-09,1927.5,2022.5,1897.5,1968.75,795590,1753.63818359375
2020-04-13,1992.5,2028.75,1891.25,1902.5,570983,1694.62719726562
2020-04-14,1787.5,1807.5,1640,1653.75,656667,1473.05603027344
2020-04-15,1733.75,1766.25,1668.75,1708.75,525699,1522.04675292969
2020-04-16,1653.75,1706.25,1591.25,1616.25,719853,1439.65356445312
2020-04-17,1553.75,1645,1543.75,1576.25,574293,1404.02392578125
2020-04-20,1615,1630,1558.75,1627.5,430786,1449.67443847656
2020-04-21,1675,1836.25,1663.75,1806.25,732877,1608.8935546875
2020-04-22,1693.75,1718.75,1611.25,1643.75,420249,1464.14892578125
2020-04-23,1625,1667.5,1565,1656.25,524003,1475.28308105469
2020-04-24,1646.25,1680,1568.75,1575,480766,1402.91064453125
2020-04-27,1526.25,1562.5,1515,1543.75,368186,1375.07507324219
2020-04-28,1502.5,1632.5,1501.25,1625,522639,1447.44763183594
2020-04-29,1518.75,1542.5,1431.25,1457.5,544786,1298.24914550781
2020-04-30,1433.75,1486.25,1432.5,1447.5,447254,1289.34167480469
2020-05-01,1541.25,1598.75,1498.75,1577.5,517610,1405.13745117188
2020-05-04,1602.5,1613.75,1516.25,1521.25,351207,1355.03344726562
2020-05-05,1475,1487.5,1417.5,1470,407691,1309.38330078125
2020-05-06,1436.25,1461.25,1401.25,1442.5,459473,1284.88818359375
2020-05-07,1387.5,1415,1368.75,1386.25,473605,1234.78405761719
2020-05-08,1353.75,1375,1326.25,1330,418988,1184.68005371094
2020-05-11,1353.75,1358.75,1275,1296.25,445623,1154.61779785156
2020-05-12,1283.75,1375,1272.5,1373.75,525879,1223.64978027344
2020-05-13,1365,1475,1328.75,1425,876685,1269.30004882812
2020-05-14,1451.25,1492.5,1377.5,1377.5,638930,1226.990234375
2020-05-15,1435,1443.75,1350,1350,596306,1202.49487304688
2020-05-18,1297.5,1311.25,1256.25,1275,467236,1135.68957519531
2020-05-19,1272.5,1287.5,1235,1286.25,460794,1145.71032714844
2020-05-20,1240,1240,1201.25,1207.5,456292,1075.56469726562
2020-05-21,1206.25,1255,1196.25,1245,529933,1108.96740722656
2020-05-22,1255,1270,1230,1233.75,349896,1098.94665527344
2020-05-26,1175,1248.75,1171.25,1240,402431,1104.51391601562
2020-05-27,1251.25,1327.5,1221.25,1222.5,659497,1088.92590332031
2020-05-28,1241.25,1243.75,1172.5,1228.75,594774,1094.49304199219
2020-05-29,1221.25,1247.5,1170,1178.75,677717,1049.9560546875
2020-06-01,1190,1195,1157.5,1162.5,315354,1035.48156738281
2020-06-02,1158.75,1193.75,1138.75,1141.25,432240,1016.55352783203
2020-06-03,1131.25,1143.75,1112.5,1121.25,387809,998.73876953125
2020-06-04,1130,1167.5,1108.75,1147.5,421690,1022.12060546875
2020-06-05,1133.75,1138.75,1070,1080,586398,961.995849609375
2020-06-08,1082.5,1102.5,1052.5,1053.75,356190,938.614074707031
2020-06-09,1066.25,1068.75,1018.75,1030,447115,917.459045410156
2020-06-10,1008.75,1016.25,973.75,991.25,590570,882.942932128906
2020-06-11,1041.25,1142.5,1025,1140,947838,1015.44006347656
2020-06-12,1066.25,1175,1047.5,1113.75,1056542,992.058288574219
2020-06-15,1162.5,1176.25,1062.5,1072.5,725092,955.3154296875
2020-06-16,1003.75,1068.75,996.25,1018.75,760514,907.438232421875
2020-06-17,998.75,1020,983.75,1007.5,495871,897.417541503906
2020-06-18,1012.5,1022.5,996.25,998.75,361296,889.62353515625
2020-06-19,968.75,1022.5,965,1000,560924,890.736938476562
2020-06-22,1001.25,1005,962.5,965,443522,859.561157226562
2020-06-23,943.75,951.25,912.5,940,605278,837.292724609375
2020-06-24,950,1015,933.75,995,999359,886.283264160156
2020-06-25,996.25,1028.75,965,967.5,672447,861.7880859375
2020-06-26,972.5,1043.75,970,1037.5,793016,924.139587402344
2020-06-29,1040,1075,1003.75,1006.25,642944,896.304016113281
2020-06-30,1005,1007.5,937.5,945,567390,841.746276855469
2020-07-01,943.75,950,898.75,911.25,672856,811.683959960938
2020-07-02,885,897.5,870,892.5,612686,794.982666015625
2020-07-06,858.75,858.75,820,827.5,710594,737.084838867188
2020-07-07,831.25,846.25,802.5,843.75,759620,751.559326171875
2020-07-08,830,845,810,810,628846,721.496887207031
2020-07-09,793.75,832.5,782.5,790,920736,703.68212890625
2020-07-10,791.25,816.25,771.25,772.5,662102,688.09423828125
2020-07-13,747.5,828.75,722.5,820,1349954,730.404235839844
2020-07-14,843.75,876.25,798.75,802.5,1673334,714.816345214844
2020-07-15,791.25,830,781.25,797.5,843613,710.362670898438
2020-07-16,825,846.25,808.75,815,782829,725.950561523438
2020-07-17,808.75,833.75,802.5,813.75,573864,724.837219238281
2020-07-20,805,817.5,736.25,742.5,792013,661.372131347656
2020-07-21,728.75,772.5,728.75,765,806377,681.413757324219
2020-07-22,761.25,778.75,748.75,756.25,595040,673.619812011719
2020-07-23,761.25,830,755,816.25,1102336,727.06396484375
2020-07-24,855,880,826.25,840,1355262,748.218994140625
2020-07-27,823.75,831.25,791.25,793.75,656152,707.022399902344
