asset,n_days,final_equity,total_return_pct,mae,rmse,mape,r2,directional_acc,coverage
TQQQ,90,1311.21,31.12,1.55535,1.899418,1.8106,0.960002,51.685393,41.111111
UPRO,90,991.65,-0.83,1.367255,1.695027,1.443995,0.967454,51.685393,37.777778
SOXL,90,1393.73,39.37,0.905022,1.164264,3.669707,0.931749,51.685393,75.555556
QQQ,90,1052.05,5.2,3.1806,4.023161,0.570344,0.970631,51.685393,16.666667
RHHBY,90,1170.61,17.06,0.52716,0.644842,1.30604,0.639066,51.685393,18.888889
BTC,90,1124.18,12.42,1996.161496,2556.676691,1.779546,0.733719,40.449438,32.222222
UDOW,90,1225.9,22.59,1.395524,1.786695,1.473538,0.940342,42.696629,42.222222
TSLG,90,1448.3,44.83,0.331524,0.460673,5.045647,0.898929,47.191011,24.444444
,,9717.63,,,,,,,
,,8000,,,,,,,
,,21%,,,,,,,
